id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y,timestep
74,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,57.73,!74,DEFAULT_VEHTYPE,0,701376130#13_0,2.06,5.71,140.04,2849.05,3018.24,
75,HBEFA3/PC_G_EU4,2295.72,0,0.04,0.7,0.01,732.24,0,64.09,!75,DEFAULT_VEHTYPE,0,25087607#0_0,56.96,13.2,114.81,2806.53,2574.57,
76,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,64.27,!76,DEFAULT_VEHTYPE,0,-24926500#5_0,26.58,14.45,221.78,4070.31,3095.23,
77,HBEFA3/PC_G_EU4,9908.02,140.45,0.88,4.23,0.21,3160.16,0,71.25,!77,DEFAULT_VEHTYPE,0,701330347#15_0,53.64,15.65,326.02,3625.25,2625.23,
79,HBEFA3/PC_G_EU4,1394.04,0,0,0.27,0,444.65,0,63.68,!79,DEFAULT_VEHTYPE,0,24926513#6_0,5.4,13.44,221.86,4190.18,3055.8,
80,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,62.67,!80,DEFAULT_VEHTYPE,0,24933995_0,124.79,12.92,163.87,3717.43,3283.2,
82,HBEFA3/PC_G_EU4,7292.54,133.14,0.78,3.16,0.15,2325.97,0,69.39,!82,DEFAULT_VEHTYPE,0,-24926500#6_0,16.02,9.25,221.77,4123.25,3154.5,
83,HBEFA3/PC_G_EU4,3136.78,28.36,0.2,1.14,0.04,1000.5,0,63.71,!83,DEFAULT_VEHTYPE,0,702215009_0,104.91,11.37,125.61,2518.53,2950.41,
84,HBEFA3/PC_G_EU4,9491.99,146.14,0.89,4.1,0.2,3027.47,0,71.11,!84,DEFAULT_VEHTYPE,0,24667122#11_1,8.21,13.13,228.93,4054.73,3276.08,
86,HBEFA3/PC_G_EU4,8650.42,138.39,0.84,3.73,0.18,2759.06,0,70.42,!86,DEFAULT_VEHTYPE,0,24784553#5_0,14.88,11.81,303.75,3667.35,3241.42,
88,HBEFA3/PC_G_EU4,13537,203.11,1.26,5.84,0.3,4317.61,0,74.13,!88,DEFAULT_VEHTYPE,0,24852990#7_0,14.75,19.95,118.6,2851.11,2292.85,
89,HBEFA3/PC_G_EU4,2297.3,0,0.02,0.68,0.01,732.74,0,64.6,!89,DEFAULT_VEHTYPE,0,-24926513#6_0,1.62,13.97,41.89,4177.59,3036.95,
9,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,61.78,!9,DEFAULT_VEHTYPE,0,-231759890#1_0,74.9,11.74,132.32,4384.46,2295.42,
90,HBEFA3/PC_G_EU4,4138.87,32.18,0.24,1.56,0.06,1320.11,0,65.77,!90,DEFAULT_VEHTYPE,0,-700152576_0,33.21,13.71,93.49,4129.14,3401.15,
92,HBEFA3/PC_G_EU4,6626.52,115.88,0.69,2.84,0.13,2113.54,0,68.12,!92,DEFAULT_VEHTYPE,0,24783980#3_0,18.9,9.61,146.59,4051.16,2266.79,
94,HBEFA3/PC_G_EU4,2892.64,11.36,0.12,0.99,0.03,922.63,0,64.39,!94,DEFAULT_VEHTYPE,0,-646964288#0_0,3.16,12.96,308.71,2891.57,3350.38,
95,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,63.03,!95,DEFAULT_VEHTYPE,0,-24926458#4_0,39,13.49,131.92,4291.59,2776.45,
96,HBEFA3/PC_G_EU4,6417.24,110.33,0.65,2.73,0.13,2046.79,0,67.74,!96,DEFAULT_VEHTYPE,0,:6603274471_1_0,5.9,9.74,222.6,3113.78,3276.94,
97,HBEFA3/PC_G_EU4,5406.28,61.03,0.41,2.17,0.09,1724.35,0,66.72,!97,DEFAULT_VEHTYPE,0,24926513#14_0,39.85,13.27,226.61,3924.4,2764.84,
98,HBEFA3/PC_G_EU4,7890.97,145.42,0.85,3.44,0.17,2516.84,0,70.44,!98,DEFAULT_VEHTYPE,0,705492044#3_0,17.68,9.25,339.95,2525.92,2308.78,
99,HBEFA3/PC_G_EU4,16968.2,273.15,1.66,7.44,0.39,5411.99,0,76.52,!99,DEFAULT_VEHTYPE,0,:8205816073_3_0,0.99,21,297.31,2788.35,2342.67,
1,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,53.94,!1,DEFAULT_VEHTYPE,0,890643507_1,3.01,7.64,204.58,2914.23,2266.9,
102,HBEFA3/PC_G_EU4,10080.49,142.86,0.9,4.31,0.21,3215.17,0,71.4,!102,DEFAULT_VEHTYPE,0,26752039#0_0,80.89,15.9,221.33,4585.22,3062.28,
103,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,48.8,!103,DEFAULT_VEHTYPE,0,24887172#1_0,55.1,4.86,325.97,3735.92,2304.28,
104,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,50.7,!104,DEFAULT_VEHTYPE,0,24784553#7_0,51.76,5.54,291.1,3557.63,3291.59,
105,HBEFA3/PC_G_EU4,8244.9,135.45,0.81,3.56,0.17,2629.72,0,70.08,!105,DEFAULT_VEHTYPE,0,-703143666#1_0,41.44,11.14,127.84,2930.04,3355.37,
106,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,52.59,!106,DEFAULT_VEHTYPE,0,24926567_0,32.17,6.07,222.56,4372,3141.71,
107,HBEFA3/PC_G_EU4,5443.72,115.64,0.66,2.34,0.11,1736.3,0,66.77,!107,DEFAULT_VEHTYPE,0,771321486#1_0,22.9,7.34,138.23,3108.95,3331.92,
108,HBEFA3/PC_G_EU4,4220.14,109.08,0.6,1.8,0.08,1346.05,0,64.46,!108,DEFAULT_VEHTYPE,0,30073707#2_0,17.31,5.81,322.87,3407.84,3260.34,
109,HBEFA3/PC_G_EU4,5629.88,147.14,0.8,2.48,0.12,1795.69,0,69.41,!109,DEFAULT_VEHTYPE,0,-645095539#0_0,12.74,5.12,306.99,2835.48,3131.71,
