id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
24 30,HBEFA3/PC_G_EU4,7280.73,111.35,0.68,3.09,0.14,2322.2,0,68.65,24 30,DEFAULT_VEHTYPE,0,4987249#18_0,3.12,11.66,51.97,3167.26,2495.74
26 30,HBEFA3/PC_G_EU4,8704.5,141.47,0.85,3.77,0.18,2776.31,0,70.57,26 30,DEFAULT_VEHTYPE,0,703364305#2_0,28.29,11.56,135.92,2653.15,2842.53
28 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,55.88,28 30,DEFAULT_VEHTYPE,0,-645363777#2_0,45,7.79,228.27,3480.29,3243.9
29 30,HBEFA3/PC_G_EU4,6029.27,96.28,0.58,2.53,0.11,1923.05,0,67.06,29 30,DEFAULT_VEHTYPE,0,-645341343#1_0,18.51,10.39,223.76,3116.25,3385.25
3 30,HBEFA3/PC_G_EU4,8490.03,128.24,0.79,3.64,0.17,2707.9,0,70.01,3 30,DEFAULT_VEHTYPE,0,28496650#7_0,16.2,12.73,128.54,3666.94,3221.14
30,HBEFA3/PC_G_EU4,8374.51,130.58,0.8,3.6,0.17,2671.06,0,69.99,!30,DEFAULT_VEHTYPE,0,:8010992533_0_0,5.98,12.08,48.32,2502.54,2520.44
32,HBEFA3/PC_G_EU4,6036.37,121.14,0.69,2.6,0.12,1925.32,0,67.73,!32,DEFAULT_VEHTYPE,0,700671904#4_0,24.31,7.93,297.53,2730.66,2372.59
33,HBEFA3/PC_G_EU4,6167.69,142.31,0.79,2.7,0.13,1967.21,0,69.3,!33,DEFAULT_VEHTYPE,0,-700840147#4_0,17.08,6.35,126.08,4297.88,3242.38
34,HBEFA3/PC_G_EU4,4961.91,143.25,0.77,2.19,0.11,1582.64,0,68.27,!34,DEFAULT_VEHTYPE,0,24667122#44_0,11.49,4.4,231.66,3643.91,2885.12
35,HBEFA3/PC_G_EU4,3090.7,147.47,0.74,1.38,0.07,985.83,0,63.5,!35,DEFAULT_VEHTYPE,0,-694211652_0,6.68,1.58,220.25,2726.58,2957.83
36,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!36,DEFAULT_VEHTYPE,0,701372202_0,5.1,0,57.64,3262.53,2331.83
5 30,HBEFA3/PC_G_EU4,8344.13,140.42,0.84,3.62,0.17,2661.37,0,70.35,5 30,DEFAULT_VEHTYPE,0,700632938#2_0,34.12,10.79,47.73,3050.79,2867.6
7 30,HBEFA3/PC_G_EU4,9130.92,146.16,0.89,3.95,0.19,2912.31,0,70.96,7 30,DEFAULT_VEHTYPE,0,24667122#71_1,15.09,12.08,233,3198.31,2547.68
9 30,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,9 30,DEFAULT_VEHTYPE,6,700148837#18_0,27.39,0,63.45,3870.58,2249.03
0 30,HBEFA3/PC_G_EU4,11421.72,171.84,1.06,4.95,0.25,3642.95,0,72.68,0 30,DEFAULT_VEHTYPE,0,4987249#39_0,1.63,15.6,53.45,3505.93,2748.91
1 30,HBEFA3/PC_G_EU4,7556.29,111.09,0.69,3.2,0.15,2410.09,0,68.93,1 30,DEFAULT_VEHTYPE,0,890218773#2_1,19.41,12.44,227.61,2737.06,2747.83
12 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,55.12,12 30,DEFAULT_VEHTYPE,0,:317160467_2_0,2.45,6.74,142.25,3227.55,3198.62
13 30,HBEFA3/PC_G_EU4,4081.79,98.25,0.54,1.72,0.07,1301.92,0,63.9,13 30,DEFAULT_VEHTYPE,0,:6579766784_2_0,8.76,6.44,196.92,4239.41,2676.83
15 30,HBEFA3/PC_G_EU4,11495.92,179.16,1.1,5.01,0.25,3666.62,0,73.01,15 30,DEFAULT_VEHTYPE,0,24801830#1_0,94.14,14.47,37.98,3338.67,2455.42
18 30,HBEFA3/PC_G_EU4,2184.74,3.56,0.06,0.68,0.01,696.85,0,63.23,18 30,DEFAULT_VEHTYPE,0,694201304#0_0,61.53,12.03,145.26,3715.5,3158.18
19 30,HBEFA3/PC_G_EU4,7512.93,116.1,0.71,3.2,0.15,2396.26,0,68.95,19 30,DEFAULT_VEHTYPE,0,696072697#5_1,47.95,11.66,56.79,2787.13,2134.36
2 30,HBEFA3/PC_G_EU4,10556.95,155.08,0.96,4.54,0.22,3367.14,0,71.88,2 30,DEFAULT_VEHTYPE,0,4987249#76_0,13.16,15.38,47.53,3991.76,3190.44
20 30,HBEFA3/PC_G_EU4,2340.21,28.98,0.18,0.82,0.02,746.44,0,61.69,20 30,DEFAULT_VEHTYPE,0,-645341343#3_0,2.83,9.47,229.69,3145.8,3412.83
21 30,HBEFA3/PC_G_EU4,1506.18,0,0,0.37,0,480.42,0,62.35,21 30,DEFAULT_VEHTYPE,0,41114831#5_0,39.05,11.57,312,4328.35,3169.79
23 30,HBEFA3/PC_G_EU4,5597.74,68.94,0.45,2.27,0.1,1785.41,0,66.76,23 30,DEFAULT_VEHTYPE,0,-30037868#0_0,8.98,12.69,13.07,2435.52,2396.9
24 30,HBEFA3/PC_G_EU4,8137.19,116.83,0.73,3.45,0.16,2595.36,0,69.55,24 30,DEFAULT_VEHTYPE,0,:7872495038_0_0,1.88,13.34,51.97,3177.78,2503.96
26 30,HBEFA3/PC_G_EU4,10005.57,152.95,0.94,4.33,0.21,3191.27,0,71.57,26 30,DEFAULT_VEHTYPE,0,703364305#2_0,42,13.71,139.81,2662.24,2832.28
28 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,45.37,28 30,DEFAULT_VEHTYPE,0,-645363777#2_0,48.6,3.61,228.27,3477.6,3241.5
29 30,HBEFA3/PC_G_EU4,3008.07,31.31,0.21,1.1,0.03,959.45,0,63.22,29 30,DEFAULT_VEHTYPE,0,:6510214866_1_0,9.29,10.71,221.79,3109.1,3377.29
3 30,HBEFA3/PC_G_EU4,6306.37,76.03,0.5,2.58,0.12,2011.43,0,67.72,3 30,DEFAULT_VEHTYPE,0,:7203491596_0_0,5.09,13.83,140.99,3676.75,3211.52
30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,53.72,!30,DEFAULT_VEHTYPE,0,:8010992531_0_0,1.31,7.68,74.69,2508.93,2522.73
